Pk,Tm,Player,College,Yrs,G,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WS,WS/48,BPM,VORP,DraftYr,MPG,PPG,RPG,APG,playerurl,DraftYear
19,BOS,Dee Brown,Jacksonville University,12.0,608.0,16843.0,6758.0,1569.0,2227.0,0.436,0.357,0.825,33.4,0.095,0.8,11.6,1990,27.7,11.1,2.6,3.7,https://www.sports-reference.com/cbb/players/dee-brown-1.html,1990
20,MIN,Gerald Glass,Ole Miss,4.0,201.0,3347.0,1553.0,512.0,298.0,0.433,0.236,0.643,1.8,0.025,-1.9,0.1,1990,16.7,7.7,2.5,1.5,https://www.sports-reference.com/cbb/players/gerald-glass-1.html,1990
21,PHO,Jayson Williams,St. John's,9.0,475.0,9805.0,3472.0,3584.0,287.0,0.44,0.125,0.606,20.0,0.098,-2.8,-2.1,1990,20.6,7.3,7.5,0.6,https://www.sports-reference.com/cbb/players/jayson-williams-1.html,1990
22,BRK,Tate George,UConn,4.0,177.0,2019.0,736.0,180.0,325.0,0.414,0.071,0.82,1.3,0.032,-3.5,-0.8,1990,11.4,4.2,1.0,1.8,https://www.sports-reference.com/cbb/players/tate-george-1.html,1990
23,SAC,Anthony Bonner,Saint Louis,6.0,318.0,7372.0,2199.0,1726.0,442.0,0.468,0.125,0.59,10.8,0.07,-2.0,0.1,1990,23.2,6.9,5.4,1.4,https://www.sports-reference.com/cbb/players/anthony-bonner-1.html,1990
24,SAS,Dwayne Schintzius,Florida,8.0,217.0,1950.0,587.0,536.0,93.0,0.404,0.125,0.638,1.0,0.024,-5.0,-1.5,1990,9.0,2.7,2.5,0.4,https://www.sports-reference.com/cbb/players/dwayne-schintzius-1.html,1990
25,POR,Alaa Abdelnaby,Duke,5.0,256.0,3200.0,1465.0,846.0,85.0,0.502,0.0,0.701,4.8,0.072,-3.8,-1.5,1990,12.5,5.7,3.3,0.3,https://www.sports-reference.com/cbb/players/alaa-abdelnaby-1.html,1990
26,DET,Lance Blanks,Texas,3.0,142.0,1045.0,289.0,110.0,117.0,0.436,0.253,0.667,0.7,0.031,-3.2,-0.3,1990,7.4,2.0,0.8,0.8,https://www.sports-reference.com/cbb/players/lance-blanks-1.html,1990
27,LAL,Elden Campbell,Clemson,15.0,1044.0,25776.0,10805.0,6116.0,1199.0,0.46,0.054,0.699,62.8,0.117,-0.5,9.5,1990,24.7,10.3,5.9,1.1,https://www.sports-reference.com/cbb/players/elden-campbell-1.html,1990
28,GSW,Les Jepsen,Iowa,2.0,52.0,192.0,53.0,67.0,2.0,0.333,0.0,0.65,0.1,0.031,-8.0,-0.3,1990,3.7,1.0,1.3,0.0,https://www.sports-reference.com/cbb/players/les-jepsen-1.html,1990
29,CHI,Toni Kukoč,,13.0,846.0,22212.0,9810.0,3555.0,3119.0,0.447,0.335,0.729,59.6,0.129,2.8,27.2,1990,26.3,11.6,4.2,3.7,,1990
30,MIA,Carl Herrera,Houston,8.0,465.0,8042.0,2481.0,1690.0,261.0,0.476,0.143,0.643,9.0,0.054,-3.7,-3.4,1990,17.3,5.3,3.6,0.6,https://www.sports-reference.com/cbb/players/carl-herrera-1.html,1990
31,PHO,Negele Knight,Dayton,6.0,276.0,4513.0,1699.0,351.0,780.0,0.436,0.263,0.73,4.2,0.044,-3.0,-1.1,1990,16.4,6.2,1.3,2.8,https://www.sports-reference.com/cbb/players/negele-knight-1.html,1990
32,PHI,Brian Oliver,Georgia Tech,4.0,118.0,1182.0,389.0,123.0,114.0,0.388,0.227,0.705,-0.5,-0.02,-5.9,-1.2,1990,10.0,3.3,1.0,1.0,https://www.sports-reference.com/cbb/players/brian-oliver-1.html,1990
33,UTA,Walter Palmer,Dartmouth College,2.0,48.0,209.0,100.0,65.0,11.0,0.412,0.0,0.667,-0.1,-0.013,-6.7,-0.2,1990,4.4,2.1,1.4,0.2,https://www.sports-reference.com/cbb/players/walter-palmer-1.html,1990
34,GSW,Kevin Pritchard,Kansas,4.0,94.0,1125.0,340.0,90.0,152.0,0.399,0.186,0.79,0.4,0.017,-4.0,-0.6,1990,12.0,3.6,1.0,1.6,https://www.sports-reference.com/cbb/players/kevin-pritchard-1.html,1990
35,WAS,Greg Foster,Texas-El Paso,13.0,656.0,7974.0,2538.0,1691.0,351.0,0.44,0.225,0.748,5.6,0.033,-5.5,-7.0,1990,12.2,3.9,2.6,0.5,https://www.sports-reference.com/cbb/players/greg-foster-1.html,1990
36,ATL,Trevor Wilson,UCLA,4.0,103.0,1609.0,591.0,353.0,99.0,0.456,0.0,0.567,0.8,0.023,-3.4,-0.6,1990,15.6,5.7,3.4,1.0,https://www.sports-reference.com/cbb/players/trevor-wilson-1.html,1990
37,WAS,A.J. English,Virginia Union University,2.0,151.0,3108.0,1502.0,315.0,320.0,0.435,0.138,0.778,1.1,0.017,-3.9,-1.5,1990,20.6,9.9,2.1,2.1,https://www.sports-reference.com/cbb/players/a.j.-english-1.html,1990
38,OKC,Jud Buechler,Arizona,12.0,720.0,8444.0,2385.0,1266.0,560.0,0.433,0.366,0.633,16.5,0.094,-0.1,4.0,1990,11.7,3.3,1.8,0.8,https://www.sports-reference.com/cbb/players/jud-buechler-1.html,1990
